count,variant,suggested_canonical
390,Internet,
347,World Wide Web,
252,Excel,
230,Access,
162,FoxPro,
130,CD-ROM,
107,9-track tape,
86,ArcView,
69,SPSS,
63,Paradox,
56,spreadsheets,
55,SQL,
55,spreadsheet,
49,FTP,
47,dBase,
45,database,
38,XDB,
38,GIS,
34,database managers,
33,mainframe,
33,SAS,
29,MapInfo,
23,databases,
22,modem/BBS,
22,Atlas GIS,
21,gopher,
18,SQL Server,
17,Database,
16,Lotus 1-2-3,
16,ASCII,
16,CompuServe,
16,Visual Basic,
16,Perl,
15,mapping,
14,HTML,
14,Visual FoxPro,
13,PC,
13,mapping software,
13,Quattro Pro,
13,Adobe Acrobat,
12,DOS,
12,Windows,
12,Email,
12,Nexis,
10,Macintosh,
10,Unix,
10,Netscape,
9,Monarch,
9,email,
9,Maptitude,
9,Web site,
9,MySQL,
8,WordPerfect,
8,Mosaic,
8,listserv,
8,Web,
7,NineTrack Express,
7,diskette,
7,ArcInfo,
7,NICAR,
7,Word,
7,FOIA,
7,Microsoft SQL Server,
7,PDF,
7,PHP,
6,Nine Track Express,
6,statistics,
6,Pentium,
6,e-mail,
6,Microsoft Word,
6,FARS,
6,Web server,
6,ODBC,
6,PACER,
6,Google,
6,GPS,
6,Linux,
5,Nine-Track Express,
5,Dialog,
5,diskettes,
5,OS/2,
5,E-mail,
5,Spreadsheets,
5,Windows 95,
5,Adobe Illustrator,
5,Lexis-Nexis,
5,FileMaker Pro,
5,TIGER,
5,Apache,
5,Spatial Analyst,
4,486,
4,IBM,
4,VAX,
4,IBM mainframe,
4,Oracle,
4,CSV,
4,Compuserve,
4,Gopher,gopher
4,Usenet,
4,telnet,
4,listserve,
4,askSam,
4,Lotus Notes,
4,Lexis/Nexis,
4,relational database,
4,Lotus Approach,
4,Internet Information Server,
4,Intranet,
4,Web sites,
4,MAUDE,
4,shapefiles,
4,ParseRat,
4,UltraEdit,
4,Python,
3,database software,
3,EBCDIC,
3,personal computer,
3,tape drive,
3,floppy disk,
3,scanner,
3,Census data,
3,PCs,
3,Mapping software,
3,FedWorld,
3,Listserv,
3,Xywrite,
3,America Online,
3,Microsoft,
3,Windows NT,
3,EDGAR,
3,Photoshop,
3,database manager,
3,Netscape Navigator,
3,IIS,
3,TCP/IP,
3,Internet Explorer,
3,ASP,
3,DBF,
3,Cold Fusion,
3,Claritas,
3,FAADS,
3,Federal Procurement Data System,
3,ArcView 3.2,
3,Mandrake,
3,ArcMap,
3,shapefile,
3,Microsoft Office,
3,XML,
3,XPDF,
3,Uniform Crime Report,
3,National Crime Victimization Survey,
3,Google Maps,
2,IBM-compatible PC,
2,magnetic tape,
2,computer,
2,tape,
2,Datatrieve,
2,XyWrite,
2,PC Tools,
2,PKUNZIP,
2,Toxic Release Inventory,
2,386,
2,computer tape,
2,minicomputer,
2,Qualstar 1260,
2,Vax,
2,DataTimes,
2,XYWrite III Plus,
2,Westlaw,
2,NEXIS,Nexis
2,NUDOCS,
2,XYWrite,
2,EX IQ,
2,XBase,
2,programming,
2,spreadsheet programs,
2,Bulletin boards,
2,ProfNet,
2,Telnet,
2,USENET,
2,3480/3490 cartridge tapes,
2,Power PC,
2,RAM,
2,SCSI,
2,Veronica,
2,HP9000,
2,Word for Windows,
2,CalComp DesignMate,
2,IBM 486,
2,T-1,
2,Windows 3.1,
2,tape drives,
2,Nine-track Express,
2,FBI data,
2,Uniform Crime Reports,
2,Databases,
2,Java,
2,CDB Infotek,
2,COBOL,
2,Postgres95,
2,FAA,
2,.dbf,
2,Atex,
2,TRI,
2,FEC data,
2,Datatimes,
2,Medline,
2,computer-assisted reporting,
2,mapping programs,
2,Yahoo,
2,Dejanews,
2,Pentium 133,
2,Microsoft Internet Explorer,
2,Windows NT Server,
2,NT Workstation,
2,Personal Web Server,
2,Visual Fox,
2,ToxNet,
2,OSCAR,
2,Aerial,
2,MapQuest,
2,Acrobat Reader,
2,National Bridge Inventory,
2,Access 97,
2,CFFR,
2,TIGER/Line,
2,National Practitioner Data Bank,
2,Active Server Pages,
2,Microsoft Excel,Excel
2,Microsoft Access,Access
2,Microsoft Outlook,
2,AutoTrack,
2,OpenOffice,
2,Windows XP,
2,Gentoo,
2,3D Analyst,
2,Red Hat,
2,satellite imagery,
2,ClusterSeer,
2,SAS System Viewer,
2,OS X,
2,LexisNexis,
2,geographic information system software,
2,ArcGIS,
2,geographic information systems,
2,social network analysis,
2,Census TIGER,
1,PCanywhere,
1,DESQview,
1,Norton Utilities,
1,PKZIP,
1,FAA tape,
1,Cendata,
1,Tiger Mapping System,
1,Strategic Mapping,
1,Powerbase,
1,Food and Drug Administration's Medical Device Report,
1,CPU,
1,IBM PC,
1,Dell,
1,TIGER file,
1,NEC 386,
1,FoxBase,
1,Macintosh FX,
1,Illustrator,
1,DeltaGraph,
1,GEO District,
1,3.5-inch diskette,
1,hard disk drive,
1,R&R,
1,Hewlett Packard 486,
1,Qualstar tape drive,
1,Dell 325P,
1,Census Survey Tape File 1A,
1,Hewlett Packard Scan Jet Plus,
1,Wordscan,
1,6250 BPI,
1,Hewlett-Packard 3000,
1,386 PC,
1,mapping system,
1,Datacase,
1,OSHA records,
1,computer analysis,
1,database program,
1,PC SAS,
1,DataEase,
1,UNISYS,
1,VuText,
1,microfilm,
1,Qualstar 1600 BPI,
1,Qualstar 6250,
1,MISTER,
1,ATEX,
1,SQL Forms,
1,SPSS/PC+,
1,AST 386SX/20,
1,HMDA,
1,FEC database,
1,Federal Register,
1,Congressional Record,
1,Xerox Imaging Systems K5200,
1,Kurzweil,
1,Compaq 486,
1,VU/TEXT,
1,MacIntosh,
1,i386,
1,erasable laser storage discs,
1,Magnavox 386 SX-16,
1,General Services Administration tape,
1,Windows/DOS,
1,PCensus,
1,dBase 4,
1,DSALVAGE,
1,FedWorld Gateway,
1,Bancpen,
1,relational database software,
1,statistical analysis software,
1,3480 tape carts,
1,Digital Audio Tape,
1,DAT,
1,Magneto-optical,
1,WORM,
1,Spreadsheet,
1,electronic archives,
1,Hypercard,
1,TELNET,
1,UUCP,
1,crosstabs,
1,PROFNET,
1,tape cartridges,
1,3480/3490,
1,floppy diskettes,
1,compact disk,
1,magneto-optical disk,
1,IDE,
1,ISA,
1,EISA,
1,VESA Local,
1,PCI,
1,JForum,
1,Jughead,
1,VAX cartridges,
1,Trakker 120,
1,Trakker 250,
1,magneto-optical disks,
1,Sparc20,
1,Sparc,
1,Pine,
1,Netra,
1,Lynx,
1,Aldus FreeHand,
1,Crosstalk,
1,magneto optical drives,
1,Acer,
1,486/66,
1,SPSS for Windows,
1,newsgroup,
1,mailing list,
1,Profnet,
1,Gateway 486,
1,Gateway 486 PC,
1,PC-File,
1,FBI Uniform Crime Report,
1,FAA database,
1,magneto-optical drive,
1,NT server,
1,OS/2 Warp,
1,FBI Uniform Crime Reports,
1,IBM 386,
1,electronic bulletin boards,
1,notebook computers,
1,hard drives,
1,floppy disc drives,
1,PCMCIA,
1,modems,
1,Ethernet,
1,docking stations,
1,online bulletin boards,
1,Enforcement Information System (EIS),
1,Aviation Safety Reporting System (ASRS),
1,regression analysis,
1,Direct Access Program,
1,R:BASE,
1,DataPen,
1,Bulletin Board Service,
1,xBase,
1,Macintosh Power PC,
1,notebook PC,
1,3.5-inch diskettes,
1,National Bridge Inventory data,
1,database programs,
1,WAIS,
1,Word for Windows 6.0c,
1,Internet Assistant,
1,Boolean,
1,wildcard,
1,Nutshell,
1,Data Times,
1,OSHA,
1,OSHA database,
1,LEXIS-NEXIS,
1,IPEDS,
1,ftp,FTP
1,Novell,
1,LISTSERV,
1,Data Map,
1,PKZipped,
1,Procomm,
1,Intel 80486,
1,Intel Pentium,
1,Intel 80386,
1,Compuserv,
1,National Inventory of Dams,
1,SyBase,
1,Informix,
1,UNIX,
1,IBM laptop,
1,County Business Patterns,
1,SYSTAT,
1,Statistica,
1,KwikStat,
1,Xlisp-Stat,
1,StatView,
1,SII/Coyote,
1,Quark,
1,Digicol,
1,AP/Leaf,
1,Cumulus,
1,Apple OS,
1,AppleScript,
1,As Easy As,
1,File Express,
1,AskSam,
1,comma separated values,
1,WP 6.1,
1,Microsoft Office Professional,
1,List,
1,HMDA data,
1,Epson ActionNote 650,
1,Motorola Lifestyle 14.4 Data/Fax modem,
1,PIERS,
1,FOCUS,
1,ProComm Plus for Windows,
1,Transax Systems,
1,Claris Works for windows,
1,86PC,
1,Iomega Jazz drive,
1,zip drive,
1,NFIRS,
1,National Fire Information Reporting System,
1,Census tract,
1,mapping program,
1,search engine,
1,Microsoft Graph,
1,UB,
1,ICD,
1,Autotrak,
1,Air Safety Reporting System,
1,Microfiche,
1,Lotus,
1,Dow Jones News Service,
1,Microsoft Explorer,
1,Database Technologies,
1,IRSC,
1,FLIMPORT,
1,Intranets,
1,nine-track tape,
1,satellite,
1,Database managers,
1,Mapping,
1,computerized police records,
1,intranets,
1,Data Desk,
1,online databases,
1,mailing lists,
1,FAA's Service Difficulty Reports database,
1,NASA aviation database,
1,Floppy disks,
1,FEC Info,
1,Excel 5.0,
1,Switchboard,
1,Whowhere,
1,Lycos,
1,Excite,
1,Alta Vista,
1,Infospace,
1,Four11,
1,Internet Address Finder,
1,Saavysearch,
1,PR Newswire,
1,CPI,
1,GDP deflator,
1,electronic government databases,
1,newsroom PCs,
1,SelectPhone CD,
1,Windows NT 4.0,
1,XPL,
1,SII,
1,tort databases,
1,Borland Paradox,
1,Approach,
1,BCP,
1,UniQuery,
1,Dun's Market Identifiers,
1,2-gig hard drive,
1,400-meg hard drive,
1,486 computer,
1,Adobe Acrobat Reader,
1,WinZip,
1,RealAudio,
1,RealVideo,
1,VDOLive,
1,QuickTime,
1,Shockwave,
1,National Bridge Inventory database,
1,Macs,
1,IIS 4.0,
1,client/server,
1,Boolean searches,
1,Power Point,
1,Pentium 200,
1,DIALOG,
1,Infoseek,
1,Nine-track tape,
1,JAZ Cartridges,
1,ZIP Cartridges,
1,CFML,
1,DB2,
1,Realist Inc.,
1,hardware,
1,software,
1,FoxPro 2.6,
1,online searchable database,
1,Microsoft Outlook Express 4.0,
1,Personal computers,
1,MAPublisher,
1,Map Publisher,
1,Freehand,
1,epsConverter,
1,EPS,
1,LandView,
1,computerized data analysis programs,
1,PERL,Perl
1,Freedom of Information Act,
1,Fatal Accident Reporting System,
1,vehicle identification numbers,
1,OSCAR database,
1,SEC EDGAR database,
1,DRG,
1,Supplementary Homicide Report,
1,Profile,
1,laptop,
1,VBA/Active Server Pages,
1,Oracle Application Server,
1,Netscape Application Server,
1,computer mapping program,
1,Auto Trak,
1,FEC records,
1,ISIS,
1,Martindale-Hubbell directory,
1,search engines,
1,AltaVista,
1,InferenceFind,
1,HotBot,
1,THOMAS,
1,Social Security Death Index,
1,CDC Wonder system,
1,NTSB database,
1,statistical software,
1,CompuServ,
1,FAA databases,
1,NTSB databases,
1,Aviation Safety Reporting System,
1,MapBlast,
1,Hoover's,
1,Northern Light,
1,Ask Jeeves,
1,AllTheWeb,
1,Xlate,
1,Notepad,
1,Offender Based Transaction Statistics,
1,PostScript,
1,Adobe Exchange,
1,ESRI,
1,Encarta,
1,Ferret,
1,Census Current Population Survey,
1,MapMarker,
1,Word 2000,
1,MS Access 97,
1,Marine Safety Information System,
1,maps,
1,TerraNova,
1,MDR,
1,Firearms Tracing System,
1,Open Records Act,
1,Microsoft Back Office,
1,intranet,
1,Deja,
1,ADO,
1,Uniquery,
1,Ferrett,
1,Regular expressions,
1,ArcExplorer,
1,digital maps,
1,Shapefiles,
1,MAPS,
1,pivot table,
1,AMA Web site,
1,QBasic,
1,Census Bureau,
1,FileMaker Pro Unlimited 5,
1,XLS,
1,FileMaker Home Page 3.0,
1,FrontPage 2000,
1,Pentium Pro,
1,FileMaker,
1,computer system,
1,NewsEngin,
1,Dow Jones,
1,NewsEngin UniQuery,
1,ColdFusion,
1,WordPad,
1,1990 Census,
1,2000 Census,
1,county business pattern records,
1,county income and poverty estimates,
1,Guidestar,
1,Edgar,
1,SEC database,
1,patents database,
1,Tiger Maps,
1,text files,
1,Zoot,
1,Info Select,
1,Auto TrakXP,
1,Ultra Edit,
1,dBF,
1,electronic court data,
1,Excel 6.0,
1,Two Theme Analyst,
1,dbf,
1,FAA enforcement data,
1,Cross tabulation,
1,FAA data,
1,IRE-L,
1,anywho.com,
1,landings.com,
1,Visual FoxPro 6.0,
1,ColdFusion Express,
1,10K Wizard,
1,Splitter,
1,NameChop,
1,DupeDetect,
1,McXtract,
1,Potters Wheel,
1,10k Wizard,
1,FreeERISA,
1,relational databases,
1,National Highway Transportation Safety Administration database,
1,GuideStar,
1,DOT Truck Accidents database,
1,Aircraft Registration Database,
1,FAA Service Difficulty Reports,
1,FAA Accidents and incidents database,
1,NASA Air Safety Reporting System,
1,TUTOS,
1,Summary File 3,
1,Access 2000,
1,ArcCatalog,
1,PostgreSQL,
1,GRASS,
1,Mozilla,
1,StarOffice,
1,OpenOffice.org,
1,Java Runtime Environment,
1,Windows ME,
1,Red Hat Linux,
1,Adabas,
1,ASCH text,
1,Database Library,
1,Federal Audit Clearinghouse,
1,ArcAtlas,
1,NCIC,
1,ArcScene,
1,Geographic Information System,
1,ArcPad,
1,Windows Pocket PC,
1,Trimble GPS,
1,Magellan GPS 310,
1,Census 2000,
1,IRS migration data,
1,U.S. Census Bureau,
1,FAA Aircraft Registry,
1,Federal Election Commission,
1,Visual Fox Pro,
1,EPA's TRI Explorer,
1,tab-delimited format,
1,Microsoft Windows,
1,ArcEditor,
1,geotiff,
1,Microsoft Excel 2003,
1,VB Script,
1,Avenue,
1,American FactFinder,
1,FARS database,
1,Stata,
1,ESRI ArcView 3.3,
1,Xandros,
1,Debian,
1,Fedora,
1,SUSE,
1,Slackware,
1,Apple OS X,
1,curl,
1,CGI,
1,Mac OS X,
1,ASCII text,
1,MapPoint,
1,Portable Document Format,
1,ZIP code analysis,
1,ESRI shapefile,
1,Simulex,
1,STEPS,
1,CAD,
1,AVI,
1,Screen Movie Studio,
1,VBScript,
1,Structured Query Language,
1,Website Watcher,
1,CERCLIS,
1,Hazardous Materials Incident Reporting System (HMIRS),
1,ArcView 3.3,
1,ArcView 8.3,
1,WWW-Mechanize,
1,HTML-TokeParser,
1,Curl,
1,Enterprise Manager,
1,Marine Mammal Inventory Report,
1,MMIR,
1,social network analysis software,
1,PostNuke,
1,Subversion,
1,Pentium 4,
1,U.S. Census,
1,Adoption and Foster Care Reporting System,
1,Navicat,
1,MySQL Administrator,
1,MySQL Query Browser,
1,UCINET,
1,General Services Administration database,
1,Federal Assistance Award Data System,
1,Consolidated Federal Funds Report,
1,Garmin eTrex Legend Global Positioning System,
1,Web-based reporting form,
1,Web-based database,
1,AccuTrak,
1,terminal emulator,
1,TextPipe,
1,MapInfo Professional,
1,ESRI ArcView 3.2,
1,Geostatistical Analyst,
1,Adobe Portable Document Files,
1,Bloomberg terminal,
1,Yahoo Finance,
1,ArcGIS 9,
1,Census block groups,
1,Google Maps API,
1,geographic information system,
1,logistic regression,
1,pdftotext,
1,Boolean search,
1,AJAX,
1,JavaScript,
1,Landsat,
1,SPOT,
1,Dun & Bradstreet,
1,Guidestar Premium,
1,CrimeStat,
1,Web scraping,
1,MPEG-3,
1,PDFTOTEXT,
1,Foxit Software,
1,PDF Text Viewer,
1,Foxit PDF to Text Converter,
1,Cogniview PDF2XL,
1,Investintech Able2Extract Pro,
1,OCR,
1,U.S. Department of Transportation databases,
1,IRE and NICAR Database Library,
1,Federal Contracts Database,
1,Defense Medical Surveillance System,
1,Accurint,
1,AutoTrackXP,
1,VitalChek,
1,Wiki,
1,MediaWiki,
1,PowerPoint,
1,MP3,
1,ASCII format,
1,USDA data,
